id,topic,conceptId,verificationStatus,scoreEligible,reference,referenceUrl,stem,correctAnswer
1,פריודונטיה,legacy_1,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,לפנייך תמונה של פתוגנים מחולקים לפי קבוצות. מי הקבוצה הכי פתוגנית למחלות פריו?,הקבוצה האדומה
2,פתולוגיה ורפואת הפה,legacy_2,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"הבחנת בנגע הלבן אצל המטופל, מה השלב הראשוני בבירור?",לנסות לגרד את הנגע
3,פתולוגיה ורפואת הפה,legacy_3,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,בבדיקה שגרתית ראית את האזורים הבהירים הנראים בתמונה ברירית הבוקלית באופן סימטרי. מה מהמשפטים הבאים נכון לדעתך?,"אין צורך להתערב, אלה בלוטות חלב (Fordyce granules)"
4,פתולוגיה ורפואת הפה,legacy_4,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"גבר בוגר מתלונן על תחושת חספוס ברירית בוקלית מזה מספר חודשים בבדיקה ראית נגעים לבנים בלתי מתגרדים, האבחנה הסבירה ביותר הינה?",Oral lichen planus
5,פתולוגיה ורפואת הפה,legacy_5,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,במטופל בריא בן 26 אתה רואה תופעות על הלשון המופיעות ונעלמות מדי פעם. מה נכון לגבי אבחנה זו?,התופעה יכולה להיות תורשתית
6,פתולוגיה ורפואת הפה,legacy_6,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מטופלת בת 76 מתלוננת על קו אדום בעור שהופיע לאחרונה בפינת השפה. מה האבחנה?,זיהום פטרייתי
7,פתולוגיה ורפואת הפה,legacy_7,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,פקטור שיכול להשפיע על התפתחות ממאירות בשפה?,שהייה ממושכת בשמש
8,פתולוגיה ורפואת הפה,legacy_8,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,פציינט בן 16 מתלונן על כיב כואב בצד הלשון ללא גורם טראומטי. מהו טיפול מקומי מתאים?,Triamcinolone 0.1% במשחה
9,פתולוגיה ורפואת הפה,legacy_9,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,פציינט בגיל 71מתלונן על תחושה לא נעימה ונגע שקיים במשך חודשיים,ביופסיה בחשד לקרצינומה
10,פתולוגיה ורפואת הפה,legacy_10,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"פציינט בן 48שסובל מהרגל נשיכה של השפה, על סמך הנתונים מה תמליץ לו?","להפסיק את ההרגל, ולהגיע לביקור חוזר אחרי שבועיים"
11,שיקום וסגר,legacy_11,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,התמוטטות סגר אחורי )Posterior Bite: )Collapse,הוא מונח המציג חוסר תמיכה אחורית עם מוביליות והתרחבות של המשנן הקדמי
12,שיקום וסגר,legacy_12,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,נקודת האיזון האנטומי של הגבול האחורי ביותר של תותבת שלמה תחתונה היא:,Retromolar pad
13,שיקום וסגר,legacy_13,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"איזה חלק מהתח""ל (תותבת חלקית להוצאה) הוא בעל פוטנציאל ההרסני ביותר:",הוו הרטנטיבי
14,שיקום וסגר,legacy_14,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מה מאפשרים הבסיסים הזמניים והכרכובים של תותבת חלקיות נשלפות?,ביצוע רישומים סגריים בין לסתיים
15,שיקום וסגר,legacy_15,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,באילו מצבים קליניים יש לבחור בשיקום מוברג על גבי שתלים?,מרווח בין לסתי מוקטן
16,משמרת וחומרים,legacy_16,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהם חומרים תרמופלסטים?,חומרים הניתנים לעיצוב בעזרת חום
17,רפואת שיניים לילדים,legacy_17,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,"בת שנתיים וחצי מגיעה למרפאתך ומציגה נגדי עששת התחלתיים מסוג WSLבאיזור בוקלי של שיניים 51, 61. מה אבחנתך?",עששת הגיל הרך
18,רפואת שיניים לילדים,legacy_18,needs_literature_check,False,שחזור בחינה או שאלת תרגול מהגרסה הקודמת,,מהי הסיבה המוכרת בספרות המדעית לרטנציה של שיניים נשירות בגיל מאוחר?,קליידו-קרניאל דיספלזיה
